,political_review,date,cleaned_text,cleaned_text1,cleaned_text2,LabelFromVADER,TopicNumber,TopicName,label
1097,"Egypt stops sale of residential land plots to individuals, limits it to property developers",2021-05-24,egypt stops sale of residential land plots to individuals limits it to property developers,stop sale residential land plot individual limit property developer,"['stop', 'sale', 'residential', 'land', 'plot', 'individual', 'limit', 'property', 'developer']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1098,Egypt parliament approves law establishing investment fund for charitable endowments,2021-05-24,egypt parliament approves law establishing investment fund for charitable endowments,approve establish investment fund charitable endowment,"['approve', 'establish', 'investment', 'fund', 'charitable', 'endowment']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1099,Qatari foreign minister arrives in Cairo for two-day visit ,2021-05-24,qatari foreign minister arrives in cairo for two day visit ,qatari arrive day visit,"['qatari', 'arrive', 'day', 'visit']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1100,Sisi praises Egyptian-Saudi relations in meeting with Turki Al-Sheikh ,2021-05-24,sisi praises egyptian saudi relations in meeting with turki al sheikh ,sisi praise egyptian saudi relation meeting,"['sisi', 'praise', 'egyptian', 'saudi', 'relation', 'meeting']",pos,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_pos
1101,Almost all prisoners given first dose of coronavirus vaccine: Interior ministry official to MENA ,2021-05-24,almost all prisoners given first dose of coronavirus vaccine interior ministry official to mena ,almost prisoner give first dose official,"['almost', 'prisoner', 'give', 'first', 'dose', 'official']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1102,"Shoukry says Ramallah visit aims to support Palestinians, ensure continuation of ceasefire ",2021-05-24,shoukry says ramallah visit aims to support palestinians ensure continuation of ceasefire ,say visit aim support ensure continuation ceasefire,"['say', 'visit', 'aim', 'support', 'ensure', 'continuation', 'ceasefire']",pos,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_pos
1103,Egypt offers to cut compensation claim of impounded Ever Given vessel to $550 million,2021-05-24,egypt offers to cut compensation claim of impounded ever given vessel to 550 million,offer cut compensation claim impound ever give vessel,"['offer', 'cut', 'compensation', 'claim', 'impound', 'ever_give', 'vessel']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1104,Egypt will not allow water crisis to occur due to Ethiopia's 2nd filling of GERD: Irrigation minister,2021-05-24,egypt will not allow water crisis to occur due to ethiopia is 2nd filling of gerd irrigation minister,will allow water crisis occur 2nd filling,"['will', 'allow', 'water', 'crisis', 'occur', 'nd', 'filling']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1105,"Egypt reports 1,145 coronavirus cases, 51 deaths on Sunday",2021-05-24,egypt reports 1 145 coronavirus cases 51 deaths on sunday,report coronavirus case death,"['report', 'coronavirus', 'case', 'death']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1106,US acknowledges necessity of two-state solution for Israel-Palestine crisis: Egypt's FM,2021-05-24,us acknowledges necessity of two state solution for israel palestine crisis egypt is fm,acknowledge necessity state solution,"['acknowledge', 'necessity', 'state', 'solution']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1107,Egypt’s president reviews rural development project,2021-05-23,egypt s president reviews rural development project,review rural development project,"['review', 'rural', 'development', 'project']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1108,"In Photos: Egypt sends over 3,000 tons of humanitarian aid to Gaza",2021-05-23,in photos egypt sends over 3 000 tons of humanitarian aid to gaza,photo send ton humanitarian aid,"['photo', 'send', 'ton', 'humanitarian_aid']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1109,Ship owner says Suez Canal Authority was at fault over Ever Given grounding: lawyer,2021-05-23,ship owner says suez canal authority was at fault over ever given grounding lawyer,ship owner say fault ever give ground lawyer,"['ship', 'owner', 'say', 'fault', 'ever_give', 'ground', 'lawyer']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1110,Egypt FM heads to Amman for talks on building on ceasefire in Gaza,2021-05-23,egypt fm heads to amman for talks on building on ceasefire in gaza,head talk build ceasefire,"['head', 'talk', 'build', 'ceasefire']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1111,"Egyptian parliament votes in favour of raising minimum bonuses, incentives for state employees",2021-05-23,egyptian parliament votes in favour of raising minimum bonuses incentives for state employees,egyptian vote favour raise minimum bonus incentive state employee,"['egyptian', 'vote_favour', 'raise', 'minimum', 'bonus', 'incentive', 'state', 'employee']",pos,1,Political Leaders in Egypt,Political Leaders in Egypt_pos
1112,Egyptian court says has no jurisdiction to look into appeal against impounding Ever Given,2021-05-23,egyptian court says has no jurisdiction to look into appeal against impounding ever given,egyptian say jurisdiction look appeal impounding ever give,"['egyptian', 'say', 'jurisdiction', 'look', 'appeal', 'impounding', 'ever_give']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1113,Egypt's parliament ratifies amendments to six laws; one allows for sacking employees positive for drugs,2021-05-23,egypt is parliament ratifies amendments to six laws one allows for sacking employees positive for drugs,parliament ratify amendment law allow sack employee positive drug,"['parliament', 'ratify', 'amendment', 'law', 'allow', 'sack', 'employee', 'positive', 'drug']",pos,1,Political Leaders in Egypt,Political Leaders in Egypt_pos
1114,Egypt seeks to become African hub for manufacturing coronavirus vaccines: Health minister,2021-05-23,egypt seeks to become african hub for manufacturing coronavirus vaccines health minister,seek become african hub manufacture minister,"['seek', 'become', 'african', 'hub', 'manufacture', 'minister']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1115,Egypt to manufacture its first-ever electric car in 2022: Public business sector minister,2021-05-23,egypt to manufacture its first ever electric car in 2022 public business sector minister,manufacture first ever electric car public business sector minister,"['manufacture', 'first', 'ever', 'electric', 'car', 'public', 'business', 'sector', 'minister']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1116,"Egypt reports 1,151 coronavirus cases, 59 deaths on Saturday",2021-05-23,egypt reports 1 151 coronavirus cases 59 deaths on saturday,report coronavirus case death,"['report', 'coronavirus', 'case', 'death']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1117,"Egyptian parliament to discuss new bill on raising minimum bonuses, incentives for state employees",2021-05-22,egyptian parliament to discuss new bill on raising minimum bonuses incentives for state employees,egyptian discuss new bill raise minimum bonus incentive state employee,"['egyptian', 'discuss', 'new', 'bill', 'raise', 'minimum', 'bonus', 'incentive', 'state', 'employee']",pos,1,Political Leaders in Egypt,Political Leaders in Egypt_pos
1118,"South Korean companies Hyundai, Doosan express interest to participate in Egypt’s national projects",2021-05-22,south korean companies hyundai doosan express interest to participate in egypt s national projects,south korean company interest participate national project,"['south', 'korean', 'company', 'interest', 'participate', 'national', 'project']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1119,"Egyptian, Norwegian FMs discuss latest developments in Palestinian scene",2021-05-22,egyptian norwegian fms discuss latest developments in palestinian scene,egyptian norwegian discuss late development palestinian scene,"['egyptian', 'norwegian', 'discuss', 'late', 'development', 'palestinian', 'scene']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1120,"Palestine’s president expresses gratitude to Sisi for Egypt's efforts in calming situation, helping reconstruct Gaza",2021-05-22,palestine s president expresses gratitude to sisi for egypt is efforts in calming situation helping reconstruct gaza,express gratitude sisi effort calm situation help reconstruct,"['express', 'gratitude', 'sisi', 'effort', 'calm', 'situation', 'help', 'reconstruct']",pos,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_pos
1121,"Ethiopia's planned unilateral 2nd filling of GERD violates int'l law, 2015 Declaration of Principles: Egypt FM",2021-05-22,ethiopia is planned unilateral 2nd filling of gerd violates int l law 2015 declaration of principles egypt fm,plan unilateral 2nd filling gerd violate law declaration,"['plan', 'unilateral', 'nd', 'filling', 'gerd', 'violate', 'law', 'declaration']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1122,Egypt seeks 'clear political ground' with Turkey that satisfies both states: FM,2021-05-22,egypt seeks clear political ground with turkey that satisfies both states fm,seek clear political ground satisfie state,"['seek', 'clear', 'political', 'ground', 'satisfie', 'state']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1123,"Egypt, Sudan to conduct Guardians of the Nile military drills",2021-05-22,egypt sudan to conduct guardians of the nile military drills,conduct guardian drill,"['conduct', 'guardian', 'drill']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1124,"Egypt, Cyprus agree to boost cooperation in multiple fields ",2021-05-22,egypt cyprus agree to boost cooperation in multiple fields ,agree boost cooperation multiple field,"['agree', 'boost', 'cooperation', 'multiple', 'field']",pos,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_pos
1125,Egypt's FM says indicators of fulfilling Ula reconciliation commitments with Qatar positive,2021-05-22,egypt is fm says indicators of fulfilling ula reconciliation commitments with qatar positive,say indicator fulfil reconciliation commitment,"['say', 'indicator', 'fulfil', 'reconciliation', 'commitment']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1126,Egypt offers condolences to Nigeria after death of its chief of army staff in plane crash,2021-05-22,egypt offers condolences to nigeria after death of its chief of army staff in plane crash,offer condolence death chief army staff plane crash,"['offer_condolence', 'death', 'chief', 'army', 'staff', 'plane', 'crash']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1127,"Egypt's mediators in Israel, Palestine discussing implementation of agreed-on measures in Gaza, Jerusalem: Egyptian diplomat",2021-05-22,egypt is mediators in israel palestine discussing implementation of agreed on measures in gaza jerusalem egyptian diplomat,mediator discuss implementation agree measure diplomat,"['mediator', 'discuss', 'implementation', 'agree', 'measure', 'diplomat']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1128,In Photos: Egypt sends 130 aid-laden trucks to Palestinians in Gaza Strip,2021-05-22,in photos egypt sends 130 aid laden trucks to palestinians in gaza strip,photo send aid truck,"['photo', 'send', 'aid', 'truck']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1129,Egypt will do its best to consolidate Israel-Gaza ceasefire: FM Shoukry,2021-05-22,egypt will do its best to consolidate israel gaza ceasefire fm shoukry,will good consolidate,"['will', 'good', 'consolidate']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1130,EgyptAir begins vaccinating cabin crew against Covid-19,2021-05-22,egyptair begins vaccinating cabin crew against covid 19,begin vaccinate cabin crew,"['begin', 'vaccinate', 'cabin', 'crew']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1131,"Gaza ceasefire holding as Egyptian mediators consult Hamas, Israel",2021-05-22,gaza ceasefire holding as egyptian mediators consult hamas israel,hold egyptian mediator consult,"['hold', 'egyptian', 'mediator', 'consult']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1132,Shoukry receives phone call from Israeli FM on Egypt's efforts in reaching ceasefire in Gaza,2021-05-22,shoukry receives phone call from israeli fm on egypt is efforts in reaching ceasefire in gaza,receive phone call israeli effort reach ceasefire,"['receive', 'phone_call', 'israeli', 'effort', 'reach', 'ceasefire']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1133,Egyptian business tycoon Ahmed Bahgat passes away aged 70,2021-05-22,egyptian business tycoon ahmed bahgat passes away aged 70,egyptian business tycoon pass away aged,"['egyptian', 'business_tycoon', 'pass', 'away', 'aged']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1134,"Egypt reports 1,148 new coronavirus cases, 52 deaths on Friday ",2021-05-22,egypt reports 1 148 new coronavirus cases 52 deaths on friday ,report new case death,"['report', 'new', 'case', 'death']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1135,Egypt's humanitarian aid to Gaza reaches Rafah,2021-05-21,egypt is humanitarian aid to gaza reaches rafah,humanitarian aid reach,"['humanitarian_aid', 'reach']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1136,"Hamas’s Haniyeh, Israel’s Netanyahu thank Egypt and President Sisi for ceasefire efforts",2021-05-21,hamas s haniyeh israel s netanyahu thank egypt and president sisi for ceasefire efforts,thank sisi ceasefire effort,"['thank', 'sisi', 'ceasefire', 'effort']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1137,"Egypt, UAE start 'Zayed 3' joint military exercise",2021-05-21,egypt uae start zayed 3 joint military exercise,zaye joint military exercise,"['zaye', 'joint', 'military', 'exercise']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1138,Egyptian security delegation set to monitor ceasefire arrives in Gaza and Israel,2021-05-21,egyptian security delegation set to monitor ceasefire arrives in gaza and israel,egyptian security delegation set monitor ceasefire arrive,"['egyptian', 'security', 'delegation', 'set', 'monitor', 'ceasefire', 'arrive']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1139,Palestinians see victory in Gaza truce as Israel warns Hamas,2021-05-21,palestinians see victory in gaza truce as israel warns hamas,see victory truce warn,"['see', 'victory', 'truce', 'warn']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1140,Egypt reiterates rejection of unilateral measures on GERD as Ethiopia plans second filling,2021-05-21,egypt reiterates rejection of unilateral measures on gerd as ethiopia plans second filling,reiterate rejection unilateral measure plan second filling,"['reiterate', 'rejection', 'unilateral', 'measure', 'plan', 'second_filling']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1141,Egypt receives first shipment of Sinovac Covid-19 vaccine raw material ,2021-05-21,egypt receives first shipment of sinovac covid 19 vaccine raw material ,receive first shipment sinovac vaccine raw material,"['receive', 'first', 'shipment', 'sinovac', 'vaccine', 'raw', 'material']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1142,"Egypt reports 1,153 coronavirus cases, 61 fatalities on Thursday",2021-05-21,egypt reports 1 153 coronavirus cases 61 fatalities on thursday,report coronavirus case fatality,"['report', 'coronavirus', 'case', 'fatality']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1143,Egypt-sponsored ceasefire deal reached in Gaza,2021-05-21,egypt sponsored ceasefire deal reached in gaza,sponsor reach,"['sponsor', 'reach']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1144,"Sisi praises Biden's role in Egypt-sponsored ceasefire between Palestine, Israel",2021-05-21,sisi praises biden is role in egypt sponsored ceasefire between palestine israel,sisi praise role sponsor ceasefire,"['sisi', 'praise', 'role', 'sponsor', 'ceasefire']",pos,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_pos
1145,"Sisi, Biden exchange views on Gaza crisis, agree to enhance coordination to contain escalation",2021-05-20,sisi biden exchange views on gaza crisis agree to enhance coordination to contain escalation,sisi exchange view crisis agree enhance coordination contain escalation,"['sisi', 'exchange', 'view', 'crisis', 'agree', 'enhance', 'coordination', 'contain', 'escalation']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1146,"Egypt exerting utmost effort to end Gaza escalation, FM Shoukry tells PLO official",2021-05-20,egypt exerting utmost effort to end gaza escalation fm shoukry tells plo official,exert utmost effort end tell official,"['exert', 'utmost', 'effort', 'end', 'tell', 'official']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1147,PM Madbouly inspects Cairo's International Exhibition Centre's mass vaccination venue ,2021-05-20,pm madbouly inspects cairo is international exhibition centre is mass vaccination venue ,inspect vaccination venue,"['inspect', 'vaccination', 'venue']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1148,Egypt FM stresses giving precedence to political solution to reach comprehensive settlement in Yemen ,2021-05-20,egypt fm stresses giving precedence to political solution to reach comprehensive settlement in yemen ,stress give precedence political solution reach comprehensive settlement,"['stress', 'give', 'precedence', 'political', 'solution', 'reach', 'comprehensive', 'settlement']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1149,Egypt bans entry of 7 Indian passengers after testing positive for COVID-19 despite negative PCR,2021-05-20,egypt bans entry of 7 indian passengers after testing positive for covid 19 despite negative pcr,ban entry indian passenger test positive covid negative pcr,"['ban', 'entry', 'indian', 'passenger', 'test_positive', 'covid', 'negative', 'pcr']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1150,Egypt prepared three scenarios to face GERD’s second filling: Irrigation minister,2021-05-20,egypt prepared three scenarios to face gerd s second filling irrigation minister,prepare scenario face gerd second filling irrigation minister,"['prepare', 'scenario', 'face', 'gerd', 'second_filling', 'irrigation', 'minister']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1151,"Egypt reports 1,160 new coronavirus cases, 57 deaths on Wednesday",2021-05-20,egypt reports 1 160 new coronavirus cases 57 deaths on wednesday,report new case death,"['report', 'new', 'case', 'death']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1152,"Egypt's cabinet approves acquisition of Arab Investment Bank by EFG Hermes, TSFE",2021-05-19,egypt is cabinet approves acquisition of arab investment bank by efg hermes tsfe,approve acquisition,"['approve', 'acquisition']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1153,"Egyptian delegation visits Ramallah, highlights efforts to reach Israel-Gaza ceasefire: sources tell Al-Arabiya",2021-05-19,egyptian delegation visits ramallah highlights efforts to reach israel gaza ceasefire sources tell al arabiya,egyptian delegation visit highlight effort reach source tell,"['egyptian', 'delegation', 'visit', 'highlight', 'effort', 'reach', 'source', 'tell']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1154,"Egypt awaits delivery of Sinopharm, AstraZeneca vaccines, first batch of Sinovac",2021-05-19,egypt awaits delivery of sinopharm astrazeneca vaccines first batch of sinovac,await delivery sinopharm astrazeneca vaccine first batch sinovac,"['await', 'delivery', 'sinopharm', 'astrazeneca', 'vaccine', 'first', 'batch', 'sinovac']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1155,"Egypt extends anti-coronavirus measures till 31 May, but will open parks, beaches",2021-05-19,egypt extends anti coronavirus measures till 31 may but will open parks beaches,extend measure may will open park beach,"['extend', 'measure', 'may', 'will', 'open', 'park', 'beach']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1156,Ancient Arabic and bad reviews: Users hit back against Facebook censorship on Palestine,2021-05-19,ancient arabic and bad reviews users hit back against facebook censorship on palestine,ancient arabic bad review user hit back censorship,"['ancient', 'arabic', 'bad', 'review', 'user', 'hit', 'back', 'censorship']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1157,Sisi reiterates Egypt's steadfast stance on GERD in meeting with Senegalese president ,2021-05-19,sisi reiterates egypt is steadfast stance on gerd in meeting with senegalese president ,reiterate steadfast stance meeting senegalese president,"['reiterate', 'steadfast', 'stance', 'meeting', 'senegalese', 'president']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1158,Sisi discusses expanding French investments in Egypt with France's economy minister,2021-05-19,sisi discusses expanding french investments in egypt with france is economy minister,sisi discusse expand french investment,"['sisi', 'discusse', 'expand', 'french', 'investment']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1159,Egypt will deal with second filling of GERD by tightly managing water resources: Foreign minister,2021-05-19,egypt will deal with second filling of gerd by tightly managing water resources foreign minister,will deal second filling gerd tightly manage water resource minister,"['will', 'deal', 'second_filling', 'gerd', 'tightly', 'manage', 'water', 'resource', 'minister']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1160,FM Shoukry to CNN: Egypt is working to reach ceasefire in Palestinian territories,2021-05-19,fm shoukry to cnn egypt is working to reach ceasefire in palestinian territories,work reach ceasefire palestinian territory,"['work', 'reach', 'ceasefire', 'palestinian', 'territory']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1161,Egypt asks Lebanese ambassador for clarification on 'offensive statements' by FM against Gulf countries,2021-05-19,egypt asks lebanese ambassador for clarification on offensive statements by fm against gulf countries,ask lebanese ambassador clarification offensive statement country,"['ask', 'lebanese', 'ambassador', 'clarification', 'offensive', 'statement', 'country']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1162,"Egypt reports 1,169 new coronavirus cases, 53 deaths on Tuesday ",2021-05-19,egypt reports 1 169 new coronavirus cases 53 deaths on tuesday ,report new case death,"['report', 'new', 'case', 'death']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1163,"Egypt in talks with Palestinians, Israelis to reach ceasefire deal but to no avail",2021-05-18,egypt in talks with palestinians israelis to reach ceasefire deal but to no avail,talk reach ceasefire deal avail,"['talk', 'reach', 'ceasefire', 'deal', 'avail']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1164,Egypt’s Sisi urges international community to provide necessary support to Africa in facing pandemic,2021-05-18,egypt s sisi urges international community to provide necessary support to africa in facing pandemic,sisi urge international community provide necessary support face,"['sisi', 'urge', 'international', 'community', 'provide', 'necessary', 'support', 'face']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1165,Sisi praises Egypt’s constructive partnership with IMF,2021-05-18,sisi praises egypt s constructive partnership with imf,sisi praise constructive,"['sisi', 'praise', 'constructive']",pos,1,Political Leaders in Egypt,Political Leaders in Egypt_pos
1166,Palestine’s Abbas expresses appreciation for Egypt’s contribution to Gaza reconstruction,2021-05-18,palestine s abbas expresses appreciation for egypt s contribution to gaza reconstruction,express appreciation contribution reconstruction,"['express', 'appreciation', 'contribution', 'reconstruction']",pos,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_pos
1167,Tahya Misr Fund opens up donations for Gaza Strip,2021-05-18,tahya misr fund opens up donations for gaza strip,open donation,"['open', 'donation']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1168,"Egypt's defence minister heads to Cyprus for trilateral talks with Cypriot, Greek counterparts",2021-05-18,egypt is defence minister heads to cyprus for trilateral talks with cypriot greek counterparts,head trilateral talk cypriot greek counterpart,"['head', 'trilateral', 'talk', 'cypriot', 'greek', 'counterpart']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1169,Egyptian parliament's economic committee approves a new law on sukuk,2021-05-18,egyptian parliament is economic committee approves a new law on sukuk,egyptian approve new law sukuk,"['egyptian', 'approve', 'new', 'law', 'sukuk']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1170,Egyptian President Sisi orders allocating $500 million for reconstruction in Gaza,2021-05-18,egyptian president sisi orders allocating 500 million for reconstruction in gaza,egyptian order allocate reconstruction,"['egyptian', 'order', 'allocate', 'reconstruction']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1171,Portugal's PM hails Egypt's efforts in welcoming refugees and stopping illegal migration,2021-05-18,portugal is pm hails egypt is efforts in welcoming refugees and stopping illegal migration,hail effort welcome refugee stop illegal migration,"['hail', 'effort', 'welcome', 'refugee', 'stop', 'illegal_migration']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1172,"Egypt, Jordan, France hold trilateral summit to discuss means for ceasefire in Gaza ",2021-05-18,egypt jordan france hold trilateral summit to discuss means for ceasefire in gaza ,hold trilateral summit discuss mean ceasefire,"['hold', 'trilateral', 'summit', 'discuss', 'mean', 'ceasefire']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1173,Egypt opens two new museums at Cairo airport in celebration of International Museum Day,2021-05-18,egypt opens two new museums at cairo airport in celebration of international museum day,open new museum celebration day,"['open', 'new', 'museum', 'celebration', 'day']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1174,"Biden tells Netanyahu US engaged with Egypt, partners to reach Israel-Palestine ceasefire",2021-05-18,biden tells netanyahu us engaged with egypt partners to reach israel palestine ceasefire,tell engage partner reach,"['tell', 'engage', 'partner', 'reach']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1175,"France's Macron says to work with Jordan, Egypt leaders on Israel-Gaza ceasefire",2021-05-18,france is macron says to work with jordan egypt leaders on israel gaza ceasefire,say work leader,"['say', 'work', 'leader']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1176,"Egypt reports 1,188 new coronavirus cases, 61 deaths on Monday ",2021-05-18,egypt reports 1 188 new coronavirus cases 61 deaths on monday ,report new case death,"['report', 'new', 'case', 'death']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1177,Sisi urges ‘favourable’ regional environment to maintain Sudan's stability,2021-05-17,sisi urges favourable regional environment to maintain sudan is stability,sisi urge favourable regional environment maintain stability,"['sisi', 'urge', 'favourable', 'regional', 'environment', 'maintain', 'stability']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
1178,Egypt designates 11 hospitals to treat Palestinians wounded in Israeli bombing of Gaza,2021-05-17,egypt designates 11 hospitals to treat palestinians wounded in israeli bombing of gaza,designate hospital treat wound israeli bombing,"['designate', 'hospital', 'treat', 'wound', 'israeli', 'bombing']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
1179,El-Arish Hospital receives injured Palestinians from Gaza,2021-05-17,el arish hospital receives injured palestinians from gaza,receive injure,"['receive', 'injure']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
