"ï..Indicator","Unit","Governorate","Region","Year","Agriculture","Crude.Petroleum.Extraction","Other.extractions","Petroleum.Refinement","Manufacturing.Industries","Electricity.and.Gas","Water","Sewerage","Waste.Recycling","Construction","Whole.sale.and.Retail.Trade","Communication","Information","Transportation.and.Storage","Accommodation.and.Food.Service.Activities","Real.Estate.Ownership","Business.Services","Education","Health","Other.Services","Non.Financial.Corporations","Financial.Corporations","General.Government","Non.Profit.Institutions.Serving.House.hold.Sector","DomesticWorkers","Total.Governorate.GDP"
"Regional accounts , GDP by governorate","One thousand EGP","New Valley","Central Upper Egypt","2014/2013",301080.54,718848.98,4954.63,0,81643.26,0,7669.93,2875.84,0,63677.05,319315.53,277.77,43.64,54982.02,18109.98,140170.96,8734.47,47015.93,91632.64,10176.98,1871210.14,496076.7,945814,1556.44,0,3314657.28
"Regional accounts , GDP by governorate","One thousand EGP","Total Central Upper Egypt","Central Upper Egypt","2014/2013",10960624.82,718848.98,6923.56,-3262329.59,6298963.5,0,195676.82,10801.93,0,5427575.92,3251886.34,10800.85,2482.29,1433158.31,173602.52,2499151.47,153349.39,571747.42,803471.09,113206.19,29369941.81,3624763.6,5948443,16883.87,17265.37,38977297.64
"Regional accounts , GDP by governorate","One thousand EGP","Suez","Suez Canal","2014/2013",827075.93,0,70453.46,-12537393.87,8055116.91,379999.28,199689.25,9118.51,21239.32,443262.32,901912.76,10067.15,3698.3,1199458.47,272704.32,887256.33,51019.76,518192.58,394065,61073.46,1768009.25,981037.34,1476739,5268.66,2877.56,4233931.81
"Regional accounts , GDP by governorate","One thousand EGP","Ismailia","Suez Canal","2014/2013",6049361.16,0,164093.39,0,2091128.59,3067480.66,78690.3,5260.68,0,853588.48,961116,19939.99,9306.07,673974.05,388199.51,1055056.42,226327.49,347237.16,218492.26,157596.69,16366848.92,1304982.71,1548607,50288.13,48125.37,19318852.13
"Regional accounts , GDP by governorate","One thousand EGP","Sharqia","Suez Canal","2014/2013",26470154.81,0,105148.18,-306.64,18810818.7,3073.05,256203.31,17465.45,38939.49,3789368.2,8506598.35,14063.68,12278.18,2615479.68,299667.68,4908214.24,397322.28,2024554.19,1140930.78,393219.37,69803192.97,3403425.15,8571091,113393.55,46559.39,81937662.07
"Regional accounts , GDP by governorate","One thousand EGP","Port Said","Suez Canal","2014/2013",3801376.5,18318050.56,17496.47,0,3359229.52,523645.6,319333.34,12134.63,0,251312.26,1165250.63,70849.23,4581.94,5072787.76,312848.91,1343498.23,183703.3,291382.72,240333.8,151285.02,35439100.42,1109212.04,1543809,40393.44,47479.78,38179994.68
"Regional accounts , GDP by governorate","One thousand EGP","North Sinai","Suez Canal","2014/2013",373120.47,21780382.95,156839.11,0,959774.21,0,27741.56,0,0,301568.8,428795.59,989.29,438.42,220693.58,39702.39,328121.7,15116.35,85934.39,63180.59,22847.07,24805246.47,354992.64,1324950,3438.76,716.39,26489344.26
"Regional accounts , GDP by governorate","One thousand EGP","South Sinai","Suez Canal","2014/2013",252541.95,39132027.8,65186.06,0,105077.12,3444.28,64682.1,420.85,0,247652.52,1362327.4,2689.2,997.5,361845.41,6635487.64,157163.8,391983.13,110624.45,215078.33,165248.11,49274477.65,164413.79,350008,38604.56,3599.95,49831103.95
"Regional accounts , GDP by governorate","One thousand EGP","Total Suez Canal region","Suez Canal","2014/2013",37773630.82,79230461.31,579216.67,-12537700.51,33381145.06,3977642.88,946339.85,44400.12,60178.81,5886752.58,13326000.73,118598.55,31300.41,47380438.95,7948610.45,8679310.72,1265472.32,3377925.5,2272080.76,951269.72,234693075.68,7318063.67,14815204,251387.1,149358.44,257227088.9
"Regional accounts , GDP by governorate","One thousand EGP","Beheira","Alexandria","2014/2013",26096368.35,1757845.13,86173.4,0,2056738.05,2234042.12,1351778.59,15852.18,24778.46,3681247.14,4544105.04,24030.26,107.74,2453144.54,363203.07,4462706.13,204577.79,1058707.52,689855.74,336841.83,51442103.07,3114454.72,5395829,24896.24,48918.56,60026201.6
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2014/2013",6684561.64,0,898769.66,5382709.8,33597135.54,2430020.26,991635.64,88098.82,28319.83,5978257.4,20226789.22,94834.55,84462.59,8959553.88,5238268.71,5462142.98,1186031.79,4382664.23,8323012.45,2421844.74,112459113.74,6801274.73,6242357,1776584.44,258978.21,127538308.12
"Regional accounts , GDP by governorate","One thousand EGP","Matruh","Alexandria","2014/2013",1679947.58,121471882.02,129032.7,0,157549.8,0,137186.31,3156.41,0,477910.49,1497398.14,5997.48,53.82,232455.15,153751.41,360543.37,34151.55,78708.2,34554.3,22983.64,126477262.35,180990.73,525119,899,8632.69,127192903.76
"Regional accounts , GDP by governorate","One thousand EGP","Total Alexandria region","Alexandria","2014/2013",34460877.57,123229727.15,1113975.76,5382709.8,35811423.39,4664062.38,2480600.53,107107.4,53098.29,10137415.03,26268292.4,124862.29,84624.15,11645153.57,5755223.18,10285392.48,1424761.12,5520079.95,9047422.49,2781670.21,290378479.17,10096720.17,12163305,1802379.68,316529.46,314757413.48
"Regional accounts , GDP by governorate","One thousand EGP","Fayoum","North Upper Egypt","2014/2013",10333609.35,20942960.95,4658.7,0,1073442.94,0,757251.66,13818.05,31858.98,5027809.57,1531584.95,8227.61,5076.5,996328.07,263399.72,2198872.92,127661.15,493678.14,421984.6,147116.72,44379340.57,1007321.05,2835749,22559.3,56112.47,48301082.38
"Regional accounts , GDP by governorate","One thousand EGP","Beni Suef","North Upper Egypt","2014/2013",6483124.12,0,13464,0,2251503.68,0,222018.07,8417.08,0,2882389.02,2335533.09,3352.52,1914.62,1144260.77,111555.06,1901318.32,75565.18,713962.37,399008.07,86794.47,18634180.43,2002501.14,2871078,9029.87,12949.03,23529738.48
"Regional accounts , GDP by governorate","One thousand EGP","Minya","North Upper Egypt","2014/2013",15045799.61,0,546097.96,0,4193443.63,1467897.29,191993.68,7926.09,7079.4,4564351.51,3905870.72,16339.91,11120.57,1309430.89,347608.45,3658011.16,204449.02,628724.69,774673.23,262156.58,37142974.39,2777961.68,5162678,48312.38,24459.28,45156385.74
"Regional accounts , GDP by governorate","One thousand EGP","Total North Upper Egypt region","North Upper Egypt","2014/2013",31862533.08,20942960.95,564220.66,0,7518390.25,1467897.29,1171263.41,30161.22,38938.38,12474550.1,7772988.76,27920.03,18111.69,3450019.74,722563.23,7758202.4,407675.35,1836365.2,1595665.9,496067.77,100156495.4,5787783.88,10869505,79901.56,93520.78,116987206.6
"Regional accounts , GDP by governorate","One thousand EGP","Aswan","South Upper Egypt","2014/2013",2951744.33,0,1183066.93,0,1182848.77,1266132.2,456253.57,4709.34,0,946067.57,1695222.49,5857.52,451.6,662971.48,194472.09,970345.89,216667.28,127588.15,703018.29,105242.03,12672659.5,1597293.38,2186827,7839.18,14387.81,16479006.88
"Regional accounts , GDP by governorate","One thousand EGP","Luxor","South Upper Egypt","2014/2013",1142818.24,0,10868.78,0,478133.89,0,44259.97,3647.4,7079.4,1109195.69,426801.71,2441.89,51.28,353273.94,251735.98,571131.92,139121.58,192833.9,162995.75,35522.66,4931913.98,565408.69,1348470,2308.46,4589.94,6852691.07
"Regional accounts , GDP by governorate","One thousand EGP","Sohag","South Upper Egypt","2014/2013",11561944.49,0,26369.24,0,1391956.15,0,255102.14,8557.37,14159.92,6741274.99,2468943.98,10719.19,2095.23,1115847.47,218980.13,2882192.28,219798.19,345175.82,814226.67,159344.2,28236687.44,2317022.41,4426409,12307.97,5759.92,34998186.75
"Regional accounts , GDP by governorate","One thousand EGP","Qena","South Upper Egypt","2014/2013",7033267.65,0,39933.7,0,3024144.56,0,393812.62,2034.13,7079.4,4677139.39,3203106.88,10593.08,148.13,848981.2,340795.71,1735346.08,253247.99,196423.38,400026.82,251915.19,22417995.88,1465682.17,3212361,30135.28,8627.89,27134802.22
"Regional accounts , GDP by governorate","One thousand EGP","Red Sea","South Upper Egypt","2014/2013",1061594.64,79414008.17,6339.99,0,66689.25,15213.46,67558.28,1262.56,0,163915.97,521432.89,2041.56,1477.63,245811.98,3672711.09,566236.73,219076.02,151935.79,169172.69,30276.32,86376755.04,180612.19,533993,9640.6,18704.16,87119704.99
"Regional accounts , GDP by governorate","One thousand EGP","Total South Upper Egypt","South Upper Egypt","2014/2013",23751369.34,79414008.17,1266578.64,0,6143772.61,1281345.66,1216986.57,20210.8,28318.72,13637593.62,8315507.95,31653.23,4223.86,3226886.08,4678694.99,6725252.89,1047911.05,1013957.02,2249440.23,582300.4,154636011.84,6126018.85,11708060,62231.49,52069.72,172584391.9
"Regional accounts , GDP by governorate","One thousand EGP","Gharbia","Delta","2014/2013",13990382.29,0,30890.41,-5127486.79,9787771.17,1365221.04,379320.08,28407.66,31858.98,3695026.06,8174813.21,17580.68,6085.08,2228696.12,377053.37,4373993.01,318515.17,1853677.23,1314582.29,474603.26,43320990.32,5159104.81,6969819,64453.35,56112.47,55570479.94
"Regional accounts , GDP by governorate","One thousand EGP","Menoufia","Delta","2014/2013",12524351.31,0,17944.27,55142.13,10778505.1,0,362930.2,20411.43,7079.4,2802765.05,3185767.73,27625.3,1078.25,1416772.12,381345.92,2988437.02,142913.55,1345966.22,662171.24,219009.53,36940215.76,3899325.33,5644215,12673.72,24459.28,46520889.1
"Regional accounts , GDP by governorate","One thousand EGP","Kafr ElSheikh","Delta","2014/2013",25986693.25,8820351.07,19015.39,-271.91,2537862.69,0,692043.8,12695.77,0,2074555.56,2477914,10167.21,730.35,1241766.78,181150.96,2605545.57,126044.53,859006.13,371360.05,179414.51,48196045.69,1310120.58,3659802,9752.26,33091.97,53208812.5
"Regional accounts , GDP by governorate","One thousand EGP","Dakahlia","Delta","2014/2013",23399271.73,9505110.3,17496.47,-31.19,5210621.87,800869.31,216122.94,28337.52,17699.06,5655900.16,6628255.05,31008.61,3012.76,5275259.1,347051.74,5263138.19,418647.49,2022353.32,1194261.64,354548.3,66388934.37,4266825.57,8771576,32606.67,120856.42,79580799.03
"Regional accounts , GDP by governorate","One thousand EGP","Damietta","Delta","2014/2013",4757652.08,0,11053387.82,0,4583332.93,0,133937.94,18517.59,0,783463.69,2481355.34,1160.88,585.74,1328044.31,201496.26,1222442.91,65114.49,478574.82,235096.1,126318.26,27470481.14,2021264.71,2040264,14221.05,15826.59,31562057.5
"Regional accounts , GDP by governorate","One thousand EGP","Total Delta region","Delta","2014/2013",80658350.67,18325461.37,11138734.36,-5072647.76,32898093.75,2166090.35,1784354.96,108369.97,56637.44,15011710.53,22948105.33,87542.67,11492.17,11490538.42,1488098.24,16453556.69,1071235.22,6559577.73,3777471.31,1353893.86,222316667.28,16656641,27085676,133707.06,250346.72,266443038.06
"Regional accounts , GDP by governorate","One thousand EGP","Total Egypt","Total Egypt","2014/2013",241654599.93,322469400.16,30493300,-26421200,272258500.03,20844000,9898612.62,629186.89,1348700,101643600.45,263930500,52049000,6684900,135450400,50950000.02,145769500,62283300,39692100,48298000,12000500,1791926900.1,98953300,213143700,6529203,1710700,2112263803.09
"Regional accounts , GDP by governorate","One thousand EGP","Cairo","Greater Cairo","2013/2012",4975432,535821.31,13702593,-6876894.01,85168996.95,6871210,821570,337594,923541,21239571.64,125351387,19003304.61,4088056,41824641,27242372,68339179.47,41558606,9738394.98,18978898.84,3430796,487255071.78,27758734.61,95243794,2961780,420846,613640226.39
"Regional accounts , GDP by governorate","One thousand EGP","Giza","Greater Cairo","2013/2012",9036120.23,0,41653.1,-12860.2,30630137.36,954471.98,1119543,40226.18,34910,7471900.66,22425190.36,12707083.84,1487361.16,4162111.62,6294329.67,6995757.67,6932413.91,4798757.25,4730906.81,1118973.34,120968987.93,11156868.98,9225575,644724,185844,142181999.92
"Regional accounts , GDP by governorate","One thousand EGP","Qalyubia","Greater Cairo","2013/2012",7008066.85,0,38534,-2211050.55,16234919.84,0,126824,22905.84,38084,4099344.54,3694561.74,15548.98,904.8,2526277.22,601823.72,3753922.86,244801.28,3433052.49,995623.43,291318.53,40915463.58,4175713.32,4153113,64422,86327,49395038.89
"Regional accounts , GDP by governorate","One thousand EGP","Total Greater Cairo region","Greater Cairo","2013/2012",21019619.08,535821.31,13782780.1,-9100804.76,132034054.14,7825681.98,2067937,400726.03,996535,32810816.84,151471139.11,31725937.43,5576321.96,48513029.85,34138525.39,79088860,48735821.18,17970204.72,24705429.07,4841087.87,649139523.3,43091316.91,108622482,3670926,693017,805217265.2
"Regional accounts , GDP by governorate","One thousand EGP","Asyut","Central Upper Egypt","2013/2012",9593542.78,0,1712.1,-1801458.14,5419764.42,0,182091,1198.28,0,4740740.25,3212710.76,6539.29,2021.72,1176679.4,176060.55,2054684.45,126248.33,456487.66,637382.11,88363.11,26074768.09,2718045.95,3957831,13452,14388,32778485.03
"Regional accounts , GDP by governorate","One thousand EGP","New Valley","Central Upper Egypt","2013/2012",171039.69,633581.47,4313.54,0,71729.15,0,7613,0,0,56093.26,285094.98,180.95,37.14,46626.21,21759.08,119588.61,7510.46,41100.2,80772.52,8701.37,1555741.63,435478.68,746742,1366,0,2739328.31
"Regional accounts , GDP by governorate","One thousand EGP","Total Central Upper Egypt","Central Upper Egypt","2013/2012",9764582.47,633581.47,6025.64,-1801458.14,5491493.58,0,189704,1198.28,0,4796833.51,3497805.74,6720.24,2058.86,1223305.61,197819.63,2174273.05,133758.79,497587.87,718154.63,97064.48,27630509.71,3153524.63,4704573,14818,14388,35517813.34
"Regional accounts , GDP by governorate","One thousand EGP","Suez","Suez Canal","2013/2012",705207,0,61456,-2189974.8,7051506.91,393187,193804,0,19042,386565.95,811954.77,6188.66,3195.41,976654.36,312416.12,765475.52,43863.51,452193.57,337003.09,53219.85,10382958.93,849028.19,1190125,4624,2398,12429134.12
"Regional accounts , GDP by governorate","One thousand EGP","Ismailia","Suez Canal","2013/2012",4317486,0,142902,0,1790661.91,3174662,76006,147,0,742392.74,911690.45,10284.65,8020,571493,470813.86,908609.21,198673.31,303347.94,193051.04,131456.11,13951697.23,1149796.82,1273122,44135,40105,16458856.04
"Regional accounts , GDP by governorate","One thousand EGP","Sharqia","Suez Canal","2013/2012",23791845.59,0,91359,-325.74,16265736.52,3050,248765,21229,34911,3330253,7588177.34,9065.63,10458,2212943,356414.98,4272766.76,348430.99,1766295.37,1003853.56,334205.05,61689434.04,3019269.94,6829422,99519,38800,71676444.98
"Regional accounts , GDP by governorate","One thousand EGP","Port Said","Suez Canal","2013/2012",2670087.3,16145223.47,15413,0,2856834.78,489496.3,303611,0,0,227146.16,1134034.11,47171.92,3930.24,4227113.77,391098.97,1154731.84,163505.94,254219.19,205382.08,127593.34,30416593.39,987344.17,1309885,35451,39567,32788840.57
"Regional accounts , GDP by governorate","One thousand EGP","North Sinai","Suez Canal","2013/2012",342349.22,19196865.34,136693.81,0,823384.88,0,26665,465.08,0,267496.27,415895.86,639.26,374.48,182910.14,57827.96,279941.14,12991.28,74799.01,55739.29,20135.48,21895173.51,318208.76,1111941,3018,597,23328938.28
"Regional accounts , GDP by governorate","One thousand EGP","South Sinai","Suez Canal","2013/2012",135324.45,34490314.97,57190.06,0,93230.16,3295.98,63308,0,0,218210.43,1112222.73,1751.61,870.86,302542.61,8129851.7,138349.93,341913.91,95048.98,190056.3,144967.8,45518450.48,146371.68,314382,33881,3000,46016085.17
"Regional accounts , GDP by governorate","One thousand EGP","Total Suez Canal region","Suez Canal","2013/2012",31962299.56,69832403.78,505013.87,-2190300.53,28881355.16,4063691.28,912159,21841.08,53953,5172064.55,11973975.27,75101.72,26848.99,40869656.88,9718423.6,7519874.4,1109378.93,2945904.07,1985085.35,811577.63,216250307.59,6470019.56,12028877,220628,124467,235094299.15
"Regional accounts , GDP by governorate","One thousand EGP","Beheira","Alexandria","2013/2012",24363418.47,1549335.3,75473.19,0,1771497.71,2455312.95,1298663,15155.3,22215,3240241.91,4861960.51,15319.92,89.49,2084513.89,426162.73,3850080.99,177276.37,923271.21,601931.3,288675.3,48020594.55,2810525.18,4237733,21850,40766,55131468.73
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2013/2012",6280128.84,2286.16,786441.83,-11780293.91,29035606.87,2628193.04,959988,133770.53,25390,4812678.55,17650553.34,59053.34,72275.62,7925936.47,5210229.07,4701771.76,1066050.87,3808954.25,7294796.95,2096215.9,82770027.49,5964533.82,5120746,1559206,215818,95630331.31
"Regional accounts , GDP by governorate","One thousand EGP","Matruh","Alexandria","2013/2012",1300400.5,107060999.36,112408.02,0,137855.03,0,131672,0,0,418489.83,1305356.53,3828.05,45.96,188516.72,202493.89,307603.29,29491.51,68609.96,30596.78,19904.16,111318271.59,156043.48,448830,789,7194,111931128.07
"Regional accounts , GDP by governorate","One thousand EGP","Total Alexandria region","Alexandria","2013/2012",31943947.81,108612620.83,974323.04,-11780293.91,30944959.61,5083505.99,2390323,148925.83,47605,8471410.29,23817870.38,78201.32,72411.07,10198967.08,5838885.69,8859456.04,1272818.75,4800835.43,7927325.04,2404795.36,242108893.63,8931102.48,9807309,1581845,263778,262692928.11
"Regional accounts , GDP by governorate","One thousand EGP","Fayoum","North Upper Egypt","2013/2012",9993026.54,18458775.59,4075.04,0,917944.43,0,727495,0,28563,4449424.55,1898185.36,5399.62,4286.7,836005.66,283257.89,1918649.52,114090.08,430836.87,369282.29,124749.8,40564047.93,880643.45,2287898,19799,46761,43799149.39
"Regional accounts , GDP by governorate","One thousand EGP","Beni Suef","North Upper Egypt","2013/2012",5634119.14,0,11736.29,0,1930862.45,0,219900,0,0,2536160.62,2367709.93,2120.73,1618.38,978482.33,135152.02,1664446.04,65225.64,622564.38,351940.67,74258.87,16596297.5,1742152.47,2290467,7925,10791,20647632.97
"Regional accounts , GDP by governorate","One thousand EGP","Minya","North Upper Egypt","2013/2012",12048432.06,0,479705.59,0,3622287.25,1461882.02,185969,0,6347,4041287.71,4081388.98,10778.32,9481.52,1118849.94,410235.4,3163528.48,179887.59,548208.49,692160.92,227224.34,32287654.62,2420084.71,4132226,42401,20383,38902749.33
"Regional accounts , GDP by governorate","One thousand EGP","Total North Upper Egypt region","North Upper Egypt","2013/2012",27675577.75,18458775.59,495516.92,0,6471094.14,1461882.02,1133364,0,34910,11026872.88,8347284.27,18298.67,15386.6,2933337.92,828645.31,6746624.04,359203.3,1601609.74,1413383.88,426233.01,89448000.05,5042880.64,8710591,70125,77935,103349531.68
"Regional accounts , GDP by governorate","One thousand EGP","Aswan","South Upper Egypt","2013/2012",1848595.09,0,1032226.07,0,1020124.5,1287049.17,439704,0,0,832598.49,1476512.88,3614.85,372.29,557825.21,221522.89,836382.09,195416.36,111247.5,622094.06,88632.76,10573918.21,1394000.82,1682159,6880,11990,13668948.03
"Regional accounts , GDP by governorate","One thousand EGP","Luxor","South Upper Egypt","2013/2012",1007505.46,0,9461.33,0,409832.14,0,43849,0,6347,977446.34,403436.75,1386.36,43.8,299702.97,275391.75,487268.81,123968.48,168612.46,143373.61,29277.02,4386903.28,490842.91,1063079,2026,3825,5946676.19
"Regional accounts , GDP by governorate","One thousand EGP","Sohag","South Upper Egypt","2013/2012",8940130.54,0,23013.36,0,1235073.34,0,245753,1218.55,12695,5955905.44,3224331.35,6648.09,1750.68,962812.94,242868.36,2544272.84,191200.32,299098.98,716045.13,136364.79,24739182.71,2034560.35,3462030,10802,4800,30251375.05
"Regional accounts , GDP by governorate","One thousand EGP","Qena","South Upper Egypt","2013/2012",4259722.85,0,34925.19,0,2588193.2,0,384900,0,6347,4122506.21,2948953.21,6787.48,126.78,702848.25,390121.44,1489070.69,221850.04,171441.39,351312.22,214013.43,17893119.4,1277967.83,2386371,26448,7190,21591096.23
"Regional accounts , GDP by governorate","One thousand EGP","Red Sea","South Upper Egypt","2013/2012",583690,69994178.91,5612,0,58273.67,15077.66,66939,0,0,144480,456662.14,1231.82,1230.78,198412.5,3921452.27,483094.02,192792.23,132386.89,150244.42,25323.08,76431081.4,153546.78,463921,8461,15587,77072597.18
"Regional accounts , GDP by governorate","One thousand EGP","Total South Upper Egypt","South Upper Egypt","2013/2012",16639643.94,69994178.91,1105237.95,0,5311496.85,1302126.83,1181145,1218.55,25389,12032936.48,8509896.32,19668.61,3524.34,2721601.87,5051356.72,5840088.45,925227.43,882787.21,1983069.44,493611.09,134024205,5350918.69,9057560,54617,43392,148530692.68
"Regional accounts , GDP by governorate","One thousand EGP","Gharbia","Delta","2013/2012",12919183.12,0,27259,-319542.95,8392528.81,1312572.05,366930,7575.23,28563,3250550.85,7426446.51,11072.93,5241.34,1894485.65,429609.44,3646105.33,286076.95,1616564.62,1180829.76,400011.68,42882063.32,4489063.12,5432052,56567,46761,52906506.44
"Regional accounts , GDP by governorate","One thousand EGP","Menoufia","Delta","2013/2012",11080627.22,0,15605.35,-15177.73,9194625.48,0,349422,2594,6347,2469318.62,3246657.32,17519.91,962.81,1203136.98,434350.3,2592238.22,132270.39,1175207.37,583295.77,185671.82,32674672.84,3400635.66,4544818,11123,20383,40651632.5
"Regional accounts , GDP by governorate","One thousand EGP","Kafr ElSheikh","Delta","2013/2012",22439979.18,7774109.95,16740,-288.84,2208858.32,0,672177,10760.49,0,1821698.46,2740522.56,5976.29,579.16,1052661.29,199390.32,2265641.81,113700.68,750531.56,327547.76,152100.28,42552686.28,1136626.43,2873788,8559,27577,46599236.71
"Regional accounts , GDP by governorate","One thousand EGP","Dakahlia","Delta","2013/2012",20764737.33,8377645.28,15413,-33.14,4524029.49,796439.23,221314,9998.42,15868,4987078.72,6525984.72,19981.75,2616.89,4480464.07,394839.5,4532913.36,372856.25,1766711.84,1083598.1,303853.65,59196310.47,3686790.95,6769321,28617,100715,69781754.42
"Regional accounts , GDP by governorate","One thousand EGP","Damietta","Delta","2013/2012",3290204.39,0,9624752.97,0,3911407.56,0,131350,759.92,0,687787.97,2261670.35,694.85,456.36,1126852.32,258828.42,1068540.15,55810.17,416086.15,213661.07,106241.31,23155103.92,1793591.76,1682527,12481,13189,26656892.69
"Regional accounts , GDP by governorate","One thousand EGP","Total Delta region","Delta","2013/2012",70494731.23,16151755.23,9699770.32,-335042.66,28231449.65,2109011.28,1741193,31688.06,50778,13216434.62,22201281.46,55245.73,9856.56,9757600.31,1717017.98,14105438.86,960714.44,5725101.54,3388932.46,1147878.74,200460836.83,14506707.92,21302506,117347,208625,236596022.75
"Regional accounts , GDP by governorate","One thousand EGP","Total Egypt","Total Egypt","2013/2012",209500401.84,284219137.11,26568667.83,-25207900,237365903.13,21845899.37,9615825,605597.83,1209170,87527369.17,229819252.55,31979173.71,5706408.38,116217499.53,57490674.32,124334614.85,53496922.84,34424030.58,42121379.88,10222248.18,1559062276.1,86546470.82,174233898,5730306,1425602,1826998552.92
